桩头ID,桩基承载能力(kN),,桩自重,设计载荷,,,,安全系数,
,抗压,抗拔,（kN） ,工况,压力(kN),工况,拉力(kN),抗压,抗拔
P101,110887,117019,6864.3,OL37,37389,-,-,2.51,-
P201,110887,117019,6864.3,OL36,35407.2,-,-,2.62,-
P301,110887,117019,6864.3,OL36,31457,-,-,2.89,-
P104,110887,117019,6864.3,OL47,40428.6,-,-,2.34,-
P204,110887,117019,6864.3,OL48,36717.9,-,-,2.54,-
P304,110887,117019,6864.3,OL48,32869.2,-,-,2.79,-
P105,110887,117019,6864.3,OL13,36638.8,-,-,2.55,-
P205,110887,117019,6864.3,OL14,34679.9,-,-,2.67,-
P305,110887,117019,6864.3,OL14,30875.3,-,-,2.94,-
P108,110887,117019,6864.3,OL23,39901,-,-,2.37,-
P208,110887,117019,6864.3,OL22,36242.6,-,-,2.57,-
P308,110887,117019,6864.3,OL22,32245.5,-,-,2.84,-
